,267270
2018-08-23,62226
2018-08-24,61223
2018-08-27,59717
2018-08-28,61474
2018-08-29,59466
2018-08-30,59968
2018-08-31,59215
2018-09-03,58212
2018-09-04,57710
2018-09-05,57459
2018-09-06,57459
2018-09-07,56706
2018-09-10,58463
2018-09-11,58463
2018-09-12,58714
2018-09-13,58714
2018-09-14,59466
2018-09-17,57459
2018-09-18,57710
2018-09-19,61975
2018-09-20,64234
2018-09-21,61724
2018-09-27,62226
2018-09-28,61474
2018-10-01,65237
2018-10-02,64484
2018-10-04,63732
2018-10-05,68248
2018-10-08,66743
2018-10-10,62728
2018-10-11,58212
2018-10-12,60219
2018-10-15,58714
2018-10-16,60219
2018-10-17,60470
2018-10-18,58714
2018-10-19,58964
2018-10-22,57208
2018-10-23,54950
2018-10-24,51688
2018-10-25,49881
2018-10-26,47623
2018-10-29,45415
2018-10-30,37637
2018-10-31,37336
2018-11-01,36332
2018-11-02,41451
2018-11-05,40598
2018-11-06,40547
2018-11-07,38942
2018-11-08,39293
2018-11-09,39443
2018-11-12,39594
2018-11-13,39193
2018-11-14,39343
2018-11-15,39393
2018-11-16,41250
2018-11-19,41800
2018-11-20,42150
2018-11-21,41750
2018-11-22,40850
2018-11-23,42450
2018-11-26,45000
2018-11-27,45550
2018-11-28,47250
2018-11-29,48450
2018-11-30,48150
2018-12-03,49900
2018-12-04,48850
2018-12-05,48100
2018-12-06,46600
2018-12-07,46800
2018-12-10,45300
2018-12-11,45250
2018-12-12,46300
2018-12-13,47800
2018-12-14,46650
2018-12-17,45400
2018-12-18,42700
2018-12-19,41450
2018-12-20,41600
2018-12-21,42800
2018-12-24,42450
2018-12-26,41250
2018-12-27,41800
2018-12-28,42700
2019-01-02,42300
2019-01-03,44300
2019-01-04,45500
2019-01-07,47050
2019-01-08,48250
2019-01-09,51500
2019-01-10,51700
2019-01-11,51700
2019-01-14,50500
2019-01-15,51000
2019-01-16,53700
2019-01-17,52300
2019-01-18,51700
2019-01-21,53200
2019-01-22,52600
2019-01-23,52900
2019-01-24,52900
2019-01-25,52200
2019-01-28,54200
2019-01-29,51000
2019-01-30,54000
2019-01-31,55100
2019-02-01,55900
2019-02-07,58100
2019-02-08,56900
2019-02-11,55300
2019-02-12,55100
2019-02-13,54500
2019-02-14,53600
2019-02-15,53300
2019-02-18,55800
2019-02-19,55600
2019-02-20,56500
2019-02-21,58200
2019-02-22,56200
2019-02-25,56200
2019-02-26,56900
2019-02-27,56200
2019-02-28,53800
2019-03-04,54100
2019-03-05,52400
2019-03-06,53100
2019-03-07,55300
2019-03-08,53000
2019-03-11,50700
2019-03-12,51700
2019-03-13,51400
2019-03-14,51300
2019-03-15,50500
2019-03-18,50500
2019-03-19,50700
2019-03-20,49600
2019-03-21,48400
2019-03-22,48600
2019-03-25,46900
2019-03-26,48000
2019-03-27,47000
2019-03-28,45950
2019-03-29,47650
2019-04-01,49400
2019-04-02,49850
2019-04-03,50900
2019-04-04,51100
2019-04-05,52200
2019-04-08,51600
2019-04-09,50800
2019-04-10,50500
2019-04-11,51200
2019-04-12,50300
2019-04-15,50500
2019-04-16,50500
2019-04-17,50400
2019-04-18,48950
2019-04-19,48100
2019-04-22,48350
2019-04-23,47800
2019-04-24,47750
2019-04-25,48650
2019-04-26,47700
2019-04-29,48600
2019-04-30,49000
2019-05-02,47900
2019-05-03,47700
2019-05-07,46000
2019-05-08,44750
2019-05-09,43400
2019-05-10,42550
2019-05-13,41500
2019-05-14,42800
2019-05-15,43500
2019-05-16,42450
2019-05-17,42400
2019-05-20,41600
2019-05-21,42250
2019-05-22,40950
2019-05-23,39650
2019-05-24,39000
2019-05-27,38800
2019-05-28,40450
2019-05-29,40450
2019-05-30,40700
2019-05-31,40700
2019-06-03,40400
2019-06-04,41650
2019-06-05,41700
2019-06-07,40850
2019-06-10,40400
2019-06-11,42350
2019-06-12,43100
2019-06-13,43300
2019-06-14,42800
2019-06-17,42100
2019-06-18,42100
2019-06-19,42850
2019-06-20,43100
2019-06-21,42200
2019-06-24,42450
2019-06-25,41100
2019-06-26,41000
2019-06-27,41600
2019-06-28,40550
2019-07-01,41150
2019-07-02,40800
2019-07-03,40150
2019-07-04,39500
2019-07-05,39550
2019-07-08,38250
2019-07-09,37000
2019-07-10,37300
2019-07-11,37250
2019-07-12,36700
2019-07-15,36450
2019-07-16,36350
2019-07-17,35500
2019-07-18,36350
2019-07-19,36450
2019-07-22,36400
2019-07-23,36950
2019-07-24,35600
2019-07-25,32750
2019-07-26,31550
2019-07-29,31400
2019-07-30,32000
2019-07-31,31200
2019-08-01,31200
2019-08-02,30200
2019-08-05,27350
2019-08-06,27250
2019-08-07,26550
2019-08-08,28150
2019-08-09,27950
2019-08-12,28150
2019-08-13,27400
2019-08-14,27900
2019-08-16,27350
2019-08-19,28900
2019-08-20,29400
2019-08-21,29700
2019-08-22,29250
2019-08-23,29050
2019-08-26,28150
2019-08-27,28400
2019-08-28,28600
2019-08-29,28300
2019-08-30,29600
2019-09-02,30050
2019-09-03,29500
2019-09-04,30100
2019-09-05,30300
2019-09-06,30550
2019-09-09,30700
2019-09-10,31800
2019-09-11,31700
2019-09-16,32900
2019-09-17,31950
2019-09-18,31450
2019-09-19,31350
2019-09-20,31450
2019-09-23,32700
2019-09-24,32650
2019-09-25,31550
2019-09-26,32300
2019-09-27,31850
2019-09-30,31600
2019-10-01,31850
2019-10-02,31150
2019-10-04,30300
2019-10-07,29600
2019-10-08,30350
2019-10-10,29450
2019-10-11,29300
2019-10-14,31700
2019-10-15,32300
2019-10-16,32150
2019-10-17,31600
2019-10-18,31850
2019-10-21,31150
2019-10-22,30950
2019-10-23,30900
2019-10-24,30950
2019-10-25,30200
2019-10-28,30450
2019-10-29,29150
2019-10-30,28050
2019-10-31,27900
2019-11-01,27850
2019-11-04,29000
2019-11-05,29650
2019-11-06,29100
2019-11-07,29050
2019-11-08,30550
2019-11-11,30900
2019-11-12,30050
2019-11-13,29250
2019-11-14,29000
2019-11-15,29500
2019-11-18,29250
2019-11-19,28900
2019-11-20,28900
2019-11-21,28050
2019-11-22,28200
2019-11-25,28450
2019-11-26,29100
2019-11-27,29000
2019-11-28,28300
2019-11-29,27850
2019-12-02,27050
2019-12-03,27650
2019-12-04,26850
2019-12-05,26850
2019-12-06,27450
2019-12-09,27450
2019-12-10,28300
2019-12-11,27950
2019-12-12,28100
2019-12-13,30350
2019-12-16,30550
2019-12-17,30800
2019-12-18,31000
2019-12-19,30400
2019-12-20,31100
2019-12-23,30900
2019-12-24,30250
2019-12-26,30700
2019-12-27,30250
2019-12-30,29900
2020-01-02,31500
2020-01-03,30850
2020-01-06,29300
2020-01-07,29400
2020-01-08,27800
2020-01-09,28550
2020-01-10,29050
2020-01-13,28950
2020-01-14,29750
2020-01-15,30300
2020-01-16,30500
2020-01-17,30650
2020-01-20,31000
2020-01-21,30950
2020-01-22,31050
2020-01-23,30050
2020-01-28,27900
2020-01-29,28000
2020-01-30,27200
2020-01-31,26700
2020-02-03,26350
2020-02-04,25750
2020-02-05,24100
2020-02-06,25150
2020-02-07,24550
2020-02-10,24650
2020-02-11,24950
2020-02-12,24900
2020-02-13,24850
2020-02-14,24500
2020-02-17,24300
2020-02-18,24000
2020-02-19,23400
2020-02-20,23200
2020-02-21,22150
2020-02-24,21100
2020-02-25,21900
2020-02-26,22150
2020-02-27,21300
2020-02-28,20500
2020-03-02,20400
2020-03-03,20650
2020-03-04,21200
2020-03-05,21550
2020-03-06,20750
2020-03-09,19650
2020-03-10,19200
2020-03-11,18900
2020-03-12,17250
2020-03-13,15250
2020-03-16,14350
2020-03-17,14500
2020-03-18,13100
2020-03-19,10900
2020-03-20,12350
2020-03-23,11250
2020-03-24,12250
2020-03-25,13700
2020-03-26,14250
2020-03-27,14700
2020-03-30,14500
2020-03-31,15000
2020-04-01,15250
2020-04-02,15900
2020-04-03,16300
2020-04-06,17250
2020-04-07,17400
2020-04-08,17050
2020-04-09,16750
2020-04-10,17000
2020-04-13,16850
2020-04-14,17100
2020-04-16,17000
2020-04-17,17700
2020-04-20,18300
2020-04-21,17800
2020-04-22,18150
2020-04-23,18100
2020-04-24,17500
2020-04-27,17900
2020-04-28,17550
2020-04-29,18450
2020-05-04,17700
2020-05-06,17900
2020-05-07,17950
2020-05-08,18050
2020-05-11,18100
2020-05-12,17850
2020-05-13,17850
2020-05-14,17300
2020-05-15,17250
2020-05-18,17300
2020-05-19,19850
2020-05-20,20400
2020-05-21,21350
2020-05-22,19450
2020-05-25,19100
2020-05-26,19850
2020-05-27,20450
2020-05-28,20000
2020-05-29,19400
2020-06-01,19800
2020-06-02,20350
2020-06-03,23200
2020-06-04,22900
2020-06-05,23300
2020-06-08,24650
2020-06-09,24300
2020-06-10,23400
2020-06-11,23200
2020-06-12,22000
2020-06-15,20650
2020-06-16,23500
2020-06-17,23500
2020-06-18,23350
2020-06-19,23150
2020-06-22,22500
2020-06-23,22350
2020-06-24,22500
2020-06-25,21750
2020-06-26,21300
2020-06-29,20600
2020-06-30,21900
2020-07-01,21400
2020-07-02,21450
2020-07-03,21500
2020-07-06,21250
2020-07-07,21150
2020-07-08,21350
2020-07-09,21350
2020-07-10,20750
2020-07-13,20800
2020-07-14,20500
2020-07-15,20900
2020-07-16,21000
2020-07-17,20650
2020-07-20,21100
2020-07-21,22350
2020-07-22,22050
2020-07-23,21600
2020-07-24,21700
2020-07-27,22350
2020-07-28,22150
